,user_id,age,session_count,avg_purchase,reward_arm_0,reward_arm_1,reward_arm_2,reward_arm_3,reward_arm_4,gender_M,device_mobile,device_tablet,region_dogu_anadolu,region_ege,region_guneydogu_anadolu,region_ic_anadolu,region_karadeniz,region_marmara,time_of_day_evening,time_of_day_morning,time_of_day_night
57,58,19,6,489.41,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
58,59,37,10,65.6,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
59,60,45,12,56.34,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0
60,61,64,10,102.85,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
61,62,24,1,116.2,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0
62,63,61,3,416.79,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
63,64,25,15,328.43,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
64,65,64,1,136.94,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0
65,66,52,12,193.76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,67,31,5,145.29,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0
67,68,34,4,425.54,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
68,69,53,12,65.12,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
69,70,67,12,164.98,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
70,71,57,7,55.78,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
71,72,21,4,230.25,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0
72,73,19,4,98.29,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
73,74,23,10,131.5,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
74,75,59,10,102.08,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
75,76,21,9,106.67,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0
76,77,46,12,86.91,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
77,78,35,5,390.23,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
78,79,43,11,173.32,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
79,80,61,13,146.74,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
80,81,51,7,91.04,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
81,82,27,2,185.33,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
82,83,53,7,90.17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
83,84,31,2,31.62,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
84,85,48,10,311.39,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
85,86,65,13,134.74,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
86,87,32,5,23.3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0
87,88,25,11,48.77,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
88,89,31,13,47.07,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0
89,90,40,15,227.04,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
90,91,57,14,366.28,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
91,92,38,14,80.0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
92,93,33,5,171.93,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
93,94,62,5,197.74,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
94,95,35,5,112.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,96,64,7,64.97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
96,97,70,10,63.88,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
97,98,41,13,124.89,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
98,99,43,2,91.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
99,100,42,15,102.08,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
100,101,62,1,29.38,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
101,102,58,4,51.48,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
102,103,46,7,36.5,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
103,104,32,1,116.92,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
104,105,62,4,142.12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
105,106,18,15,190.28,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
106,107,42,15,103.14,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
107,108,24,15,193.04,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
108,109,26,7,49.85,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
109,110,41,6,24.89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
110,111,18,1,131.05,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
111,112,61,7,388.19,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0
112,113,25,14,53.37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
113,114,41,5,46.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
114,115,28,6,107.2,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
115,116,68,1,86.6,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
116,117,34,9,134.61,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
117,118,25,4,181.88,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1
118,119,52,3,168.92,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0
119,120,52,14,242.28,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
120,121,50,11,24.06,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
121,122,22,13,48.75,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
122,123,59,15,386.87,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
123,124,56,5,36.12,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
124,125,58,11,68.1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0
125,126,45,5,338.85,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
126,127,24,12,258.8,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
127,128,26,5,66.49,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0
128,129,25,8,243.75,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0
129,130,29,15,85.4,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0
130,131,51,7,99.57,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
131,132,50,3,176.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
132,133,65,15,73.05,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
133,134,40,15,119.41,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
134,135,41,1,129.01,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
135,136,54,12,51.06,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
136,137,52,12,149.33,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1
137,138,61,14,71.91,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
138,139,57,2,163.59,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
139,140,39,4,167.57,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
140,141,44,12,127.23,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
141,142,52,1,115.11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
142,143,18,2,45.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
143,144,52,8,149.68,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
144,145,54,13,285.7,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0
145,146,64,8,168.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
146,147,31,4,48.18,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0
147,148,20,8,143.97,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
148,149,18,12,74.99,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
149,150,22,13,55.15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
150,151,43,14,87.76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
151,152,31,2,203.97,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
152,153,56,13,72.5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
153,154,44,11,120.96,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
154,155,26,7,304.36,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0
155,156,32,2,60.5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
156,157,32,9,222.69,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
157,158,43,4,108.54,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
158,159,59,10,219.28,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
159,160,30,14,123.73,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
160,161,68,11,131.92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
161,162,49,2,82.91,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
162,163,56,1,189.07,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
163,164,66,7,179.69,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
164,165,69,11,146.69,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
165,166,49,10,178.6,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0
166,167,21,4,97.22,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
167,168,47,1,162.07,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
168,169,54,2,120.49,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
169,170,40,6,63.18,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
170,171,56,2,54.03,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
171,172,62,15,191.15,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
172,173,32,5,75.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
173,174,60,15,171.37,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
174,175,46,2,23.23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
175,176,53,11,147.56,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
176,177,30,4,92.24,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
177,178,49,5,68.72,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
178,179,24,4,126.92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
179,180,68,11,134.9,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
180,181,39,1,141.05,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
181,182,45,10,151.11,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
182,183,19,10,117.28,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0
183,184,59,3,70.79,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
184,185,62,10,217.74,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
185,186,70,9,109.31,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
186,187,23,4,214.63,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
187,188,45,13,106.04,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0
188,189,45,13,90.87,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
189,190,61,13,85.79,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
190,191,61,9,134.63,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
191,192,37,5,183.12,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
192,193,47,2,205.87,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
193,194,28,8,181.64,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
194,195,45,14,129.29,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
195,196,42,4,352.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
196,197,56,14,165.2,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
197,198,50,2,23.06,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
198,199,18,6,42.27,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
199,200,44,1,171.67,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0
200,201,69,8,65.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
201,202,30,9,68.78,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
202,203,58,7,79.32,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1
203,204,20,13,66.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
204,205,56,14,103.3,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0
205,206,23,9,141.09,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
206,207,25,2,56.89,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0
207,208,44,11,73.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
208,209,26,1,107.2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
209,210,54,7,113.85,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
210,211,50,4,146.9,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1
211,212,68,10,110.45,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0
212,213,59,8,254.5,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0
213,214,61,3,321.69,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
214,215,41,7,202.59,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
215,216,32,7,133.25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
216,217,49,11,70.45,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
217,218,49,15,85.3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
218,219,41,10,43.65,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
219,220,58,10,106.31,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
220,221,69,11,35.14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
221,222,66,4,119.69,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
222,223,66,14,251.01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
223,224,69,10,68.66,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
224,225,29,14,183.66,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
225,226,56,14,118.65,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
226,227,19,1,110.96,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
227,228,20,7,138.45,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
228,229,66,10,162.08,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
229,230,54,12,366.97,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
230,231,66,14,105.09,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
231,232,34,6,212.74,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0
232,233,66,12,134.92,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
233,234,19,1,68.77,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
234,235,19,11,311.74,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
235,236,45,12,98.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
236,237,40,8,42.52,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
237,238,54,10,187.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
238,239,49,6,194.09,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
239,240,50,15,104.72,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
240,241,18,15,165.33,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
241,242,36,5,146.77,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
242,243,19,8,39.75,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
243,244,70,2,28.92,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
244,245,61,6,441.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
245,246,43,10,204.48,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
246,247,49,3,224.72,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0
247,248,23,15,100.29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
248,249,49,12,137.41,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
249,250,21,11,136.89,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
250,251,28,8,63.68,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
251,252,34,5,67.05,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
252,253,55,12,248.65,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
253,254,41,10,249.41,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
254,255,22,3,124.95,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
255,256,69,2,25.74,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
256,257,51,5,157.08,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
257,258,23,9,94.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
258,259,39,1,27.69,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
259,260,28,10,357.82,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1
260,261,65,15,215.85,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
261,262,33,4,92.34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
262,263,50,14,56.21,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0
263,264,26,1,263.67,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
264,265,23,2,120.82,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
265,266,33,10,187.68,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
266,267,46,11,237.65,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0
267,268,20,15,90.71,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
268,269,37,7,74.38,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
269,270,53,1,138.4,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0
270,271,36,9,207.09,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
271,272,43,8,46.16,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
272,273,20,3,268.7,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
273,274,36,10,112.84,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
274,275,37,1,162.48,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
275,276,49,4,121.9,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
276,277,24,2,160.14,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0
277,278,69,6,91.63,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
278,279,58,2,149.21,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0
279,280,50,4,159.54,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
280,281,57,7,84.32,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
281,282,56,14,244.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
282,283,35,14,261.96,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
283,284,57,12,37.8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
284,285,18,9,97.62,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0
285,286,28,11,77.48,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
286,287,45,3,207.19,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
287,288,42,6,51.79,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0
288,289,67,5,206.02,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
289,290,40,5,114.66,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
290,291,48,2,205.79,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
291,292,47,13,238.91,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
292,293,59,5,264.06,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
293,294,52,11,163.81,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
294,295,24,3,331.24,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
295,296,33,7,71.94,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
296,297,43,14,146.37,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
